ID,Group,Statistic,ROI,Test,iDXA BMD (g/cm2)
1,Ctrl,Mean,Head,Pre,2.29
2,Ctrl,Mean,Head,Test 1,2.29
3,Ctrl,Mean,Head,Test 2,2.31
4,Ctrl,Mean,Head,Test 3,2.32
5,Ctrl,Mean,Head,Test 4,2.31
6,Ctrl,Mean,Head,Post,2.31
7,Ctrl,SD,Head,Pre,0.22
8,Ctrl,SD,Head,Test 1,0.96
9,Ctrl,SD,Head,Test 2,0.97
10,Ctrl,SD,Head,Test 3,0.97
11,Ctrl,SD,Head,Test 4,0.96
12,Ctrl,SD,Head,Post,0.22
13,Ctrl,SEM,Head,Pre,0.07
14,Ctrl,SEM,Head,Test 1,0.29
15,Ctrl,SEM,Head,Test 2,0.29
16,Ctrl,SEM,Head,Test 3,0.29
17,Ctrl,SEM,Head,Test 4,0.29
18,Ctrl,SEM,Head,Post,0.07
19,Exer,Mean,Head,Pre,2.37
20,Exer,Mean,Head,Test 1,2.38
21,Exer,Mean,Head,Test 2,2.38
22,Exer,Mean,Head,Test 3,2.36
23,Exer,Mean,Head,Test 4,2.37
24,Exer,Mean,Head,Post,2.38
25,Exer,SD,Head,Pre,0.31
26,Exer,SD,Head,Test 1,0.30
27,Exer,SD,Head,Test 2,0.31
28,Exer,SD,Head,Test 3,0.61
29,Exer,SD,Head,Test 4,0.62
30,Exer,SD,Head,Post,0.31
31,Exer,SEM,Head,Pre,0.07
32,Exer,SEM,Head,Test 1,0.07
33,Exer,SEM,Head,Test 2,0.07
34,Exer,SEM,Head,Test 3,0.14
35,Exer,SEM,Head,Test 4,0.14
36,Exer,SEM,Head,Post,0.07
37,FLY,Mean,Head,Pre,2.41
38,FLY,Mean,Head,Test 1,2.45
39,FLY,Mean,Head,Test 2,2.45
40,FLY,Mean,Head,Test 3,2.46
41,FLY,Mean,Head,Test 4,2.45
42,FLY,Mean,Head,Post,2.46
43,FLY,SD,Head,Pre,0.29
44,FLY,SD,Head,Test 1,0.27
